"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"254",656703479,8.61904144," 2014-Jun-03 21:44:30",34.349153,"mhs_stride_7",4,1,629903,25,629903
"255",658249705,8.7671442," 2014-Jun-04 19:23:57",89.29619,"mhs_stride_5",68,1,684521,25,684521
"256",660973089,9.51603985," 2014-Jun-04 00:36:15",97.768259,"mhs_stride_8",12,1,896978,25,896978
"257",661372255,8.79912758," 2014-Jun-04 14:38:26",23.072859,"mhs_stride_5",54,1,401166,25,401166
"258",668208862,8.66373158," 2014-Jun-04 03:54:10",67.185967,"mhs_random_2",24,1,507907,25,507907
"259",668861485,8.56705379," 2014-Jun-04 12:16:50",29.852828,"mhs_stride_5",46,1,435659,25,435659
"260",669012780,8.81803322," 2014-Jun-04 06:24:53",47.694252,"mhs_stride_5",31,1,563059,25,563059
"261",669350782,9.0121336," 2014-Jun-04 02:41:00",113.182522,"mhs_stride_1",20,1,577826,25,577826
"262",671455499,8.84429646," 2014-Jun-05 06:17:06",80.624927,"mhs_stride_2",99,1,511144,25,511144
"263",677492926,9.2235775," 2014-Jun-04 03:27:48",117.050292,"mhs_random_3",23,1,682286,25,682286
"264",682547645,8.83272457," 2014-Jun-04 01:46:51",158.273404,"mhs_stride_1",18,1,461718,25,461718
"265",687082647,8.69487953," 2014-Jun-04 16:24:22",21.741048,"mhs_stride_8",61,1,368848,25,368848
"266",689241177,9.00514317," 2014-Jun-04 18:00:38",47.608943,"mhs_stride_6",65,1,566331,25,566331
"267",691739679,9.12094116," 2014-Jun-04 05:00:04",85.848733,"mhs_stride_3",27,1,643398,25,643398
"268",695006029,9.34871864," 2014-Jun-03 23:45:34",65.053186,"mhs_stride_1",11,1,383521,25,383521
"269",695849059,8.86229515," 2014-Jun-04 21:52:23",58.476594,"mhs_random_3",74,1,544772,25,544772
"270",709353736,8.69487953," 2014-Jun-04 16:20:40",50.414204,"mhs_stride_2",61,1,368848,25,368848
"271",712839569,8.7671442," 2014-Jun-04 19:06:48",52.545764,"mhs_random_6",68,1,684521,25,684521
"272",715606185,8.67734051," 2014-Jun-05 04:36:01",94.821924,"mhs_random_2",94,1,605983,25,605983
"273",719656400,9.11783886," 2014-Jun-03 23:33:51",17.154204,"mhs_random_8",10,1,461699,25,461699
"274",723524669,9.15190506," 2014-Jun-04 11:55:39",21.035473,"mhs_random_7",45,1,451474,25,451474
"275",725032453,8.91667747," 2014-Jun-04 14:12:36",34.189346,"mhs_random_8",53,1,649041,25,649041
"276",732518616,8.74178219," 2014-Jun-05 03:01:37",146.121333,"mhs_random_3",89,1,799404,25,799404
"277",732816987,9.2562151," 2014-Jun-04 15:54:25",31.804322,"mhs_stride_8",59,1,408996,25,408996
"278",732992171,8.67440128," 2014-Jun-04 00:43:11",14.635425,"mhs_stride_6",13,1,324657,25,324657
"279",733331877,8.78878307," 2014-Jun-04 09:42:27",48.795286,"mhs_random_3",41,1,462373,25,462373
"280",735315707,9.10761166," 2014-Jun-04 20:21:18",482.565683,"mhs_random_1",71,1,834368,25,834368
"281",735511819,9.11711407," 2014-Jun-04 15:01:53",25.7352,"mhs_random_8",56,1,660263,25,660263
"282",739832072,9.47279644," 2014-Jun-03 22:30:51",50.737503,"mhs_stride_5",7,1,676356,25,676356
"283",740864964,8.82302094," 2014-Jun-04 23:04:42",191.818307,"mhs_stride_1",76,1,584144,25,584144
"284",741496944,9.14146233," 2014-Jun-04 03:09:15",39.24639,"mhs_random_3",22,1,446754,25,446754
"285",742741396,8.54617405," 2014-Jun-04 08:00:42",56.748196,"mhs_stride_6",34,1,742377,25,742377
"286",746740192,9.12366676," 2014-Jun-04 10:06:43",92.280581,"mhs_random_4",42,1,712309,25,712309
"287",750238919,8.77051926," 2014-Jun-05 02:38:44",25.26413,"mhs_random_4",88,1,356413,25,356413
"288",751576265,8.61337471," 2014-Jun-05 01:23:51",49.128995,"mhs_stride_3",84,1,590083,25,590083
"289",755336376,8.53958035," 2014-Jun-04 10:33:43",107.439171,"mhs_random_1",43,1,385268,25,385268
"290",756329678,9.57004929," 2014-Jun-04 05:26:20",28.408555,"mhs_random_3",29,1,376815,25,376815
"291",758472257,9.06096363," 2014-Jun-04 18:39:41",47.204301,"mhs_random_3",67,1,632622,25,632622
"292",761310608,8.93907642," 2014-Jun-03 21:13:11",60.648358,"mhs_random_2",3,1,499020,25,499020
"293",761570779,8.79912758," 2014-Jun-04 14:37:27",30.642424,"mhs_stride_3",54,1,401166,25,401166
"294",762904810,9.57004929," 2014-Jun-04 05:25:45",40.238423,"mhs_random_2",29,1,376815,25,376815
"295",769242811,8.86229515," 2014-Jun-04 22:00:00",223.802562,"mhs_stride_1",74,1,544772,25,544772
"296",769879586,9.25405312," 2014-Jun-04 19:33:05",97.090952,"mhs_random_2",69,1,550644,25,550644
"297",770764236,9.55056858," 2014-Jun-04 11:12:07",74.842735,"mhs_random_7",44,1,1093233,25,1093233
"298",771501661,9.45475578," 2014-Jun-03 23:05:12",93.556467,"mhs_stride_4",8,1,843992,25,843992
"299",777672790,9.10426617," 2014-Jun-04 20:01:03",29.493646,"mhs_random_8",70,1,559989,25,559989
"300",781091260,9.2562151," 2014-Jun-04 15:53:07",32.416851,"mhs_stride_6",59,1,408996,25,408996
"301",782604142,9.11783886," 2014-Jun-03 23:32:58",19.821152,"mhs_random_6",10,1,461699,25,461699
"302",786112012,8.81549644," 2014-Jun-04 08:08:22",17.910981,"mhs_random_7",35,1,534635,25,534635
"303",788293536,9.11711407," 2014-Jun-04 15:10:07",76.927934,"mhs_stride_4",56,1,660263,25,660263
"304",788483097,9.25405312," 2014-Jun-04 19:49:04",40.292155,"mhs_stride_8",69,1,550644,25,550644
"305",801715475,9.2834444," 2014-Jun-05 00:37:42",33.017584,"mhs_stride_6",81,1,537968,25,537968
"306",804516925,8.93784618," 2014-Jun-05 00:01:20",31.034443,"mhs_stride_7",79,1,491268,25,491268
"307",807268186,8.93784618," 2014-Jun-04 23:57:13",84.947573,"mhs_stride_2",79,1,491268,25,491268
"308",809230081,9.10426617," 2014-Jun-04 20:00:25",32.699993,"mhs_random_7",70,1,559989,25,559989
"309",812535778,8.72023678," 2014-Jun-04 15:20:36",23.004178,"mhs_random_6",57,1,479866,25,479866
"310",813272701,9.10761166," 2014-Jun-04 20:25:10",217.625661,"mhs_random_2",71,1,834368,25,834368
"311",813634774,8.86029053," 2014-Jun-04 07:08:32",90.990058,"mhs_random_4",33,1,646814,25,646814
"312",819503303,8.62062073," 2014-Jun-04 16:41:46",57.745071,"mhs_stride_4",62,1,514881,25,514881
